,Country,Year,Month,Sales
0,Afghanistan,2015,January,20
1,Afghanistan,2016,January,104
2,Afghanistan,2017,January,107
3,Afghanistan,2018,January,124
4,Afghanistan,2019,January,191
5,Afghanistan,2020,January,204
6,Afghanistan,2021,January,168
7,Afghanistan,2022,January,131
8,Azerbaijan,2015,January,56
9,Azerbaijan,2016,January,54
10,Azerbaijan,2017,January,54
11,Azerbaijan,2018,January,65
12,Azerbaijan,2019,January,95
13,Azerbaijan,2020,January,99
14,Azerbaijan,2021,January,68
15,Azerbaijan,2022,January,89
16,Belgium,2016,January,12
17,Belgium,2017,January,10
18,Canada,2022,January,40
19,China,2015,January,20
20,China,2016,January,23
21,China,2020,January,78
22,China,2021,January,63
23,China,2022,January,51
24,Egypt,2015,January,11
25,Egypt,2016,January,26
26,Egypt,2017,January,45
27,Egypt,2018,January,62
28,Egypt,2019,January,83
29,Egypt,2020,January,82
30,Egypt,2021,January,69
31,Egypt,2022,January,88
32,England,2015,January,54
33,England,2016,January,49
34,England,2017,January,40
35,England,2018,January,55
36,England,2019,January,76
37,England,2020,January,72
38,England,2021,January,47
39,England,2022,January,82
40,Germany,2015,January,66
41,Germany,2016,January,49
42,Germany,2017,January,43
43,Germany,2018,January,89
44,Germany,2019,January,119
45,Germany,2020,January,133
46,Germany,2021,January,65
47,Germany,2022,January,204
48,Iran,2015,January,44
49,Iran,2016,January,45
50,Iran,2017,January,42
51,Iran,2018,January,83
52,Iran,2019,January,305
53,Iran,2020,January,678
54,Iran,2021,January,459
55,Iran,2022,January,761
56,Iraq,2015,January,240
57,Iraq,2016,January,308
58,Iraq,2017,January,279
59,Iraq,2018,January,272
60,Iraq,2019,January,605
61,Iraq,2020,January,739
62,Iraq,2021,January,385
63,Iraq,2022,January,513
64,Jordan,2015,January,14
65,Jordan,2016,January,17
66,Jordan,2017,January,33
67,Jordan,2018,January,84
68,Jordan,2019,January,151
69,Jordan,2020,January,107
70,Jordan,2021,January,51
71,Jordan,2022,January,105
72,Kazakhstan,2020,January,65
73,Kazakhstan,2021,January,69
74,Kazakhstan,2015,January,44
75,Kazakhstan,2016,January,46
76,Kazakhstan,2017,January,19
77,Kazakhstan,2018,January,40
78,Kazakhstan,2019,January,30
79,Kazakhstan,2022,January,132
80,Kuwait,2015,January,124
81,Kuwait,2016,January,134
82,Kuwait,2017,January,115
83,Kuwait,2018,January,108
84,Kuwait,2019,January,130
85,Kuwait,2020,January,121
86,Kuwait,2021,January,58
87,Kuwait,2022,January,82
88,Lebanese,2019,January,45
89,Lebanese,2020,January,82
90,Lebanon,2018,January,8
91,Lebanon,2021,January,41
92,Lebanon,2022,January,83
93,Libya,2019,January,69
94,Libya,2020,January,78
95,Libya,2015,January,28
96,Netherlands,2016,January,21
97,Netherlands,2018,January,9
98,Norway,2015,January,17
99,Norway,2016,January,26
100,Norway,2017,January,9
101,Othercountries,2015,January,194
102,Othercountries,2016,January,226
103,Othercountries,2017,January,253
104,Othercountries,2018,January,288
105,Othercountries,2019,January,585
106,Othercountries,2020,January,647
107,Othercountries,2021,January,473
108,Othercountries,2022,January,933
109,Pakistani,2021,January,61
110,Pakistani,2022,January,84
111,Palestine,2017,January,27
112,Palestine,2018,January,32
113,Palestine,2019,January,103
114,Palestine,2020,January,101
115,Palestine,2021,January,74
116,Palestine,2022,January,80
117,Qatar,2015,January,18
118,Qatar,2016,January,12
119,Qatar,2017,January,18
120,Qatar,2018,January,40
121,Qatar,2019,January,73
122,RussianFederation,2015,January,157
123,RussianFederation,2016,January,106
124,RussianFederation,2017,January,60
125,RussianFederation,2018,January,121
126,RussianFederation,2019,January,195
127,RussianFederation,2020,January,254
128,RussianFederation,2021,January,260
