,Country,Year,Month,Sales
0,Afghanistan,2023,1,206.99645146520197
1,Afghanistan,2023,2,209.78010531135806
2,Afghanistan,2023,3,212.56375915750687
3,Afghanistan,2023,4,215.34741300366295
4,Afghanistan,2023,5,218.13106684981904
5,Afghanistan,2023,6,220.91472069596784
6,Afghanistan,2023,7,223.69837454212393
7,Afghanistan,2023,8,226.48202838828
8,Afghanistan,2023,9,229.26568223442882
9,Afghanistan,2023,10,232.0493360805849
10,Afghanistan,2023,11,234.832989926741
11,Afghanistan,2023,12,237.6166437728898
12,Azerbaijan,2023,1,105.62293956043868
13,Azerbaijan,2023,2,110.71909340659477
14,Azerbaijan,2023,3,115.81524725274721
15,Azerbaijan,2023,4,120.9114010989033
16,Azerbaijan,2023,5,126.00755494505574
17,Azerbaijan,2023,6,131.1037087912082
18,Azerbaijan,2023,7,136.19986263736428
19,Azerbaijan,2023,8,141.29601648351672
20,Azerbaijan,2023,9,146.39217032966917
21,Azerbaijan,2023,10,151.48832417582526
22,Azerbaijan,2023,11,156.5844780219777
23,Azerbaijan,2023,12,161.6806318681338
24,Belgium,2023,1,26.913461538461434
25,Belgium,2023,2,27.247377622377826
26,Belgium,2023,3,27.581293706293764
27,Belgium,2023,4,27.9152097902097
28,Belgium,2023,5,28.249125874126094
29,Belgium,2023,6,28.58304195804203
30,Belgium,2023,7,28.91695804195797
31,Belgium,2023,8,29.25087412587436
32,Belgium,2023,9,29.5847902097903
33,Belgium,2023,10,29.918706293706236
34,Belgium,2023,11,30.25262237762263
35,Belgium,2023,12,30.586538461538566
36,Canada,2023,1,68.2948717948718
37,Canada,2023,2,67.3927738927739
38,Canada,2023,3,66.490675990676
39,Canada,2023,4,65.58857808857809
40,Canada,2023,5,64.6864801864802
41,Canada,2023,6,63.78438228438229
42,Canada,2023,7,62.88228438228439
43,Canada,2023,8,61.98018648018648
44,Canada,2023,9,61.07808857808858
45,Canada,2023,10,60.17599067599068
46,Canada,2023,11,59.27389277389278
47,Canada,2023,12,58.371794871794876
48,China,2023,1,101.04052339413101
49,China,2023,2,101.969894023503
50,China,2023,3,102.89926465287135
51,China,2023,4,103.82863528224334
52,China,2023,5,104.75800591161533
53,China,2023,6,105.68737654098368
54,China,2023,7,106.61674717035567
55,China,2023,8,107.54611779972765
56,China,2023,9,108.475488429096
57,China,2023,10,109.40485905846799
58,China,2023,11,110.33422968783634
59,China,2023,12,111.26360031720833
60,Egypt,2023,1,97.1913919413928
61,Egypt,2023,2,99.49209124209301
62,Egypt,2023,3,101.79279054278959
63,Egypt,2023,4,104.0934898434898
64,Egypt,2023,5,106.39418914419002
65,Egypt,2023,6,108.69488844489024
66,Egypt,2023,7,110.99558774558682
67,Egypt,2023,8,113.29628704628703
68,Egypt,2023,9,115.59698634698725
69,Egypt,2023,10,117.89768564768747
70,Egypt,2023,11,120.19838494838405
71,Egypt,2023,12,122.49908424908426
72,England,2023,1,77.82532051282124
73,England,2023,2,83.18283799533856
74,England,2023,3,88.54035547785588
75,England,2023,4,93.8978729603732
76,England,2023,5,99.25539044289053
77,England,2023,6,104.61290792540785
78,England,2023,7,109.97042540792609
79,England,2023,8,115.32794289044341
80,England,2023,9,120.68546037296073
81,England,2023,10,126.04297785547806
82,England,2023,11,131.40049533799538
83,England,2023,12,136.7580128205127
84,Germany,2023,1,183.38827838828
85,Germany,2023,2,191.47569097569067
86,Germany,2023,3,199.56310356310132
87,Germany,2023,4,207.65051615051925
88,Germany,2023,5,215.7379287379299
89,Germany,2023,6,223.82534132534056
90,Germany,2023,7,231.9127539127512
91,Germany,2023,8,240.00016650016914
92,Germany,2023,9,248.0875790875798
93,Germany,2023,10,256.17499167499045
94,Germany,2023,11,264.2624042624011
95,Germany,2023,12,272.34981684981904
96,Iran,2023,1,784.7608745421458
