year,Country Country,January,February February,march march,April April,May May,june june,july july,august august,September,october october,November November,December
2015,Afghanistan - Afghanistan,20,33,33,50,37,36,40,58,56,75,98,120
2016,Afghanistan - Afghanistan,104,141,148,115,125,107,53,75,64,88,91,94
2017,Afghanistan - Afghanistan,107,81,112,81,70,73,71,81,75,120,105,102
2018,Afghanistan - Afghanistan,124,118,108,99,131,139,143,183,227,319,261,232
2019,Afghanistan - Afghanistan,191,166,150,189,183,108,163,146,182,185,216,312
2020,Afghanistan - Afghanistan,204,256,184,54,48,60,149,156,166,225,203,224
2021,Afghanistan - Afghanistan,168,230,302,229,98,250,229,313,270,188,231,254
2022,Afghanistan - Afghanistan,131,141,214,247,210,258,83,108,95,62,80,103
2023,Afghanistan - Afghanistan,76,69,51,50,,,,,,,,
2015,Azerbaijan - Azerbaijan,56,57,58,97,50,72,68,54,56,77,88,82
2016,Azerbaijan - Azerbaijan,54,54,60,47,58,63,39,53,37,42,47,56
2017,Azerbaijan - Azerbaijan,54,55,50,65,63,46,61,45,72,278,62,91
2018,Azerbaijan - Azerbaijan,65,63,61,68,75,82,73,96,180,177,144,166
2019,Azerbaijan - Azerbaijan,95,105,87,87,90,67,92,88,118,125,91,146
2020,Azerbaijan - Azerbaijan,99,90,95,35,42,70,115,154,183,137,104,155
2021,Azerbaijan - Azerbaijan,68,77,106,131,47,164,127,138,162,120,185,192
2022,Azerbaijan - Azerbaijan,89,93,115,156,118,131,65,106,115,99,104,139
2023,Azerbaijan - Azerbaijan,65,73,69,54,,,,,,,,
2016,Belgium - Belgium,12,8,28,13,7,17,20,30,20,12,12,19
2017,Belgium - Belgium,10,8,24,22,15,23,29,22,15,23,14,14
2022,Canada - Canada,40,58,88,74,81,105,40,53,59,32,55,75
2023,Canada - Canada,45,16,37,20,,,,,,,,
2015,China - China,20,10,24,20,19,17,15,25,23,20,24,54
2016,China - China,23,27,24,20,36,23,26,11,18,20,22,31
2020,China - China,78,87,86,40,46,78,57,103,84,61,74,97
2021,China - China,63,72,100,55,20,81,54,98,96,61,117,146
2022,China - China,51,47,78,105,186,377,57,42,49,67,39,81
2023,China - China,108,85,56,68,,,,,,,,
2015,Egypt - Egypt,11,12,19,23,21,29,15,30,21,32,54,51
2016,Egypt - Egypt,26,28,39,28,19,28,15,41,18,27,41,38
2017,Egypt - Egypt,45,46,39,38,52,31,46,61,49,34,79,67
2018,Egypt - Egypt,62,45,41,44,38,38,70,90,67,75,69,86
2019,Egypt - Egypt,83,82,59,88,99,34,107,72,73,83,111,100
2020,Egypt - Egypt,82,93,49,10,23,40,40,70,97,109,92,79
2021,Egypt - Egypt,69,65,99,99,37,95,97,94,108,129,111,163
2022,Egypt - Egypt,88,64,126,117,94,188,53,88,79,68,79,71
2023,Egypt - Egypt,45,36,41,41,,,,,,,,
2015,England - United Kingdom,54,86,48,91,103,104,101,86,109,133,74,65
2016,England - United Kingdom,49,45,62,65,85,102,71,58,84,94,63,49
2017,England - United Kingdom,40,37,39,55,65,87,76,78,103,94,68,52
2018,England - United Kingdom,55,48,52,57,112,88,94,97,193,217,128,96
2019,England - United Kingdom,76,70,74,94,149,113,124,109,139,166,133,106
2020,England - United Kingdom,72,66,65,14,16,37,69,140,197,202,147,101
2021,England - United Kingdom,47,44,98,82,36,63,63,110,100,139,157,150
2022,England - United Kingdom,82,100,140,116,91,144,90,92,120,98,92,71
2023,England - United Kingdom,57,43,65,46,,,,,,,,
2015,Germany - Germany,66,52,40,79,73,68,84,71,68,76,84,108
2016,Germany - Germany,49,50,74,50,67,96,25,52,61,63,77,50
2017,Germany - Germany,43,35,31,74,54,64,41,66,77,106,88,93
2018,Germany - Germany,89,53,78,97,123,102,109,177,299,341,203,195
2019,Germany - Germany,119,122,101,122,155,126,158,149,145,225,154,147
2020,Germany - Germany,133,108,87,13,15,53,143,134,161,159,145,114
2021,Germany - Germany,65,96,142,144,87,192,198,262,298,256,322,296
2022,Germany - Germany,204,169,244,221,247,329,163,256,225,211,224,212
2023,Germany - Germany,126,124,112,73,,,,,,,,
2015,Iran - Iran,44,43,60,53,52,85,77,58,67,62,64,79
2016,Iran - Iran,45,52,53,66,53,55,49,50,42,72,82,45
